date,timestamp,frequency,signals_json,fills_json,eod_portfolio_value,pnl_day,pnl_cum,cash,positions_json
2026-05-01,2026-05-01T09:30:00,monthly,"{""cum_12m"":{""SPY"":0.3269,""TLT"":-0.0049,""GLD"":0.4315,""DXY"":-0.006},""sign"":{""SPY"":1.0,""TLT"":-1.0,""GLD"":1.0,""DXY"":-1.0},""vol_60d"":{""SPY"":0.154,""TLT"":0.1036,""GLD"":0.4145,""DXY"":0.062},""risk_w"":{""SPY"":0.3499,""TLT"":0.5201,""GLD"":0.13},""target_w"":{""SPY"":0.3499,""TLT"":-0.5201,""GLD"":0.13}}","[{""ticker"":""GLD"",""qty_delta"":4.48566553328682,""price"":434.67999267578125,""cost_usd"":0.9749145305775596,""notes"":""target_w=0.1300""},{""ticker"":""SPY"",""qty_delta"":7.388036371218187,""price"":710.4299926757812,""cost_usd"":2.624341312546471,""notes"":""target_w=0.3499""},{""ticker"":""TLT"",""qty_delta"":-89.78311412922571,""price"":86.8926010131836,""cost_usd"":3.900744156875968,""notes"":""target_w=-0.5201""}]",14992.5,-7.5,-7.5,15595.48,"{""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812},""TLT"":{""qty"":-89.78311412922571,""avg_cost"":86.8926010131836}}"
2026-05-01,2026-05-01T09:00:00,monthly,"{""cum_12m"":{""SPY"":0.296,""TLT"":-0.043,""GLD"":0.3947,""DXY"":-0.0194},""sign"":{""SPY"":1.0,""TLT"":-1.0,""GLD"":1.0,""DXY"":-1.0},""vol_60d"":{""SPY"":0.1549,""TLT"":0.1037,""GLD"":0.3161,""DXY"":0.0619},""risk_w"":{""SPY"":0.3351,""TLT"":0.5007,""GLD"":0.1642},""target_w"":{""SPY"":0.3351,""TLT"":-0.5007,""GLD"":0.1642}}","[{""ticker"":""GLD"",""qty_delta"":1.374189980977694,""price"":423.6600036621094,""cost_usd"":0.291094666186722,""notes"":""target_w=0.1642""},{""ticker"":""SPY"",""qty_delta"":-0.3387425962713273,""price"":718.6599731445312,""cost_usd"":0.12172037256963045,""notes"":""target_w=0.3351""},{""ticker"":""TLT"",""qty_delta"":1.3750632169536203,""price"":85.62000274658203,""cost_usd"":0.05886645820614645,""notes"":""target_w=-0.5007""}]",15117.66,125.16,117.66,15138.52,"{""GLD"":{""qty"":5.859855514264514,""avg_cost"":432.09570395804604},""SPY"":{""qty"":7.04929377494686,""avg_cost"":710.4299926757812},""TLT"":{""qty"":-88.40805091227209,""avg_cost"":86.8926010131836}}"
2026-06-01,2026-06-01T09:00:00,monthly,"{""cum_12m"":{""SPY"":0.2821,""TLT"":-0.0045,""GLD"":0.3649,""DXY"":-0.0035},""sign"":{""SPY"":1.0,""TLT"":-1.0,""GLD"":1.0,""DXY"":-1.0},""vol_60d"":{""SPY"":0.1464,""TLT"":0.1029,""GLD"":0.2665,""DXY"":0.0566},""risk_w"":{""SPY"":0.3365,""TLT"":0.4786,""GLD"":0.1848},""target_w"":{""SPY"":0.3365,""TLT"":-0.4786,""GLD"":0.1848}}","[{""ticker"":""GLD"",""qty_delta"":0.9348218790924152,""price"":417.1199951171875,""cost_usd"":0.19496644882123415,""notes"":""target_w=0.1848""},{""ticker"":""SPY"",""qty_delta"":-0.22766137134424724,""price"":756.47998046875,""cost_usd"":0.0861106348739925,""notes"":""target_w=0.3365""},{""ticker"":""TLT"",""qty_delta"":2.8327594411785384,""price"":85.76000213623047,""cost_usd"":0.12146872786344926,""notes"":""target_w=-0.4786""}]",15333.16,215.5,333.16,14677.47,"{""GLD"":{""qty"":6.794677393356929,""avg_cost"":430.03532353541704},""SPY"":{""qty"":6.821632403602613,""avg_cost"":710.4299926757812},""TLT"":{""qty"":-85.57529147109355,""avg_cost"":86.8926010131836}}"
2026-07-01,2026-07-01T09:00:00,monthly,"{""cum_12m"":{""SPY"":0.2087,""TLT"":-0.0207,""GLD"":0.2085,""DXY"":0.0466},""sign"":{""SPY"":1.0,""TLT"":-1.0,""GLD"":1.0,""DXY"":1.0},""vol_60d"":{""SPY"":0.1396,""TLT"":0.0888,""GLD"":0.2374,""DXY"":0.0466},""risk_w"":{""SPY"":0.3165,""TLT"":0.4974,""GLD"":0.1861},""target_w"":{""SPY"":0.3165,""TLT"":-0.4974,""GLD"":0.1861}}","[{""ticker"":""GLD"",""qty_delta"":0.7235873856893322,""price"":368.3800048828125,""cost_usd"":0.1332775623366889,""notes"":""target_w=0.1861""},{""ticker"":""SPY"",""qty_delta"":-0.5162667121900828,""price"":746.77001953125,""cost_usd"":0.19276625137276118,""notes"":""target_w=0.3165""},{""ticker"":""TLT"",""qty_delta"":-0.06498642259778364,""price"":86.41999816894531,""cost_usd"":0.0028080632609533843,""notes"":""target_w=-0.4974""}]",14878.94,-454.22,-121.06,14801.74,"{""GLD"":{""qty"":7.518264779046262,""avg_cost"":424.1013730629597},""SPY"":{""qty"":6.30536569141253,""avg_cost"":710.4299926757812},""TLT"":{""qty"":-85.64027789369133,""avg_cost"":86.89224238790923}}"
2026-09-01,2026-09-01T09:00:00,monthly,"{""cum_12m"":{""SPY"":0.1891,""TLT"":-0.0471,""GLD"":0.2841,""DXY"":0.0122},""sign"":{""SPY"":1.0,""TLT"":-1.0,""GLD"":1.0,""DXY"":1.0},""vol_60d"":{""SPY"":0.1388,""TLT"":0.1,""GLD"":0.2737,""DXY"":0.0461},""risk_w"":{""SPY"":0.3455,""TLT"":0.4794,""GLD"":0.1751},""target_w"":{""SPY"":0.3455,""TLT"":-0.4794,""GLD"":0.1751}}","[{""ticker"":""GLD"",""qty_delta"":-0.8103932175435578,""price"":408.4200134277344,""cost_usd"":0.16549040439544238,""notes"":""target_w=0.1751""},{""ticker"":""SPY"",""qty_delta"":0.7395694481249686,""price"":767.0499877929688,""cost_usd"":0.2836433680781549,""notes"":""target_w=0.3455""},{""ticker"":""TLT"",""qty_delta"":-5.227334794348025,""price"":82.5199966430664,""cost_usd"":0.2156798248408916,""notes"":""target_w=-0.4794""}]",15641.18,762.24,641.18,14996.13,"{""GLD"":{""qty"":6.707871561502704,""avg_cost"":424.1013730629597},""SPY"":{""qty"":7.044935139537499,""avg_cost"":716.3738967305751},""TLT"":{""qty"":-90.86761268803936,""avg_cost"":86.64072051300403}}"
