date,signals_json,fills_json,eod_portfolio_value,pnl_day,pnl_cum,cash,positions_json
2026-04-22,"{""BTC/USDT"":-0.06325378847938236,""ETH/USDT"":-0.04554759949839422,""LTC/USDT"":-0.06374451929543007,""BNB/USDT"":-0.07295637338073638}","[{""ticker"":""BNB/USDT"",""qty_delta"":-11.444675573868006,""price"":637.47,""cost_usd"":3.647818669036819,""notes"":""target_w=-0.0730""},{""ticker"":""BTC/USDT"",""qty_delta"":-0.08090972190005115,""price"":78178.23,""cost_usd"":3.162689423969118,""notes"":""target_w=-0.0633""},{""ticker"":""ETH/USDT"",""qty_delta"":-1.9185449248924513,""price"":2374.07,""cost_usd"":2.277379974919711,""notes"":""target_w=-0.0455""},{""ticker"":""LTC/USDT"",""qty_delta"":-114.87568804366565,""price"":55.49,""cost_usd"":3.1872259647715038,""notes"":""target_w=-0.0637""}]",99987.72,-12.28,-12.28,124537.95,"{""BNB/USDT"":{""qty"":-11.444675573868006,""avg_cost"":637.47},""BTC/USDT"":{""qty"":-0.08090972190005115,""avg_cost"":78178.23},""ETH/USDT"":{""qty"":-1.9185449248924513,""avg_cost"":2374.07},""LTC/USDT"":{""qty"":-114.87568804366565,""avg_cost"":55.49}}"
2026-04-22,2026-04-22T21:00:00,daily,"{""BTC/USDT"":-0.06325378847938236,""ETH/USDT"":-0.04554759949839422,""LTC/USDT"":-0.06374451929543007,""BNB/USDT"":-0.07295637338073638}","[{""ticker"":""BNB/USDT"",""qty_delta"":0.001404846977365537,""price"":637.47,""cost_usd"":0.0004477739013306045,""notes"":""target_w=-0.0730""},{""ticker"":""ETH/USDT"",""qty_delta"":0.0002355035772991787,""price"":2374.07,""cost_usd"":0.0002795509888793306,""notes"":""target_w=-0.0455""},{""ticker"":""LTC/USDT"",""qty_delta"":0.014101121703205877,""price"":55.49,""cost_usd"":0.0003912356216554471,""notes"":""target_w=-0.0637""}]",99987.72,-0.0,-12.28,124535.71,"{""BNB/USDT"":{""qty"":-11.44327072689064,""avg_cost"":637.47},""BTC/USDT"":{""qty"":-0.08090972190005115,""avg_cost"":78178.23},""ETH/USDT"":{""qty"":-1.9183094213151521,""avg_cost"":2374.07},""LTC/USDT"":{""qty"":-114.86158692196244,""avg_cost"":55.49}}"
2026-05-01,2026-05-01T09:30:00,daily,"{""BTC/USDT"":-0.06285857898740227,""ETH/USDT"":-0.04545884708545312,""LTC/USDT"":-0.06377010716110226,""BNB/USDT"":-0.07285865798285149}","[{""ticker"":""BNB/USDT"",""qty_delta"":-0.044628892102439366,""price"":635.15,""cost_usd"":0.014173020409432182,""notes"":""target_w=-0.0729""},{""ticker"":""BTC/USDT"",""qty_delta"":-0.00020053176158996155,""price"":77611.23,""cost_usd"":0.0077817583355318356,""notes"":""target_w=-0.0629""},{""ticker"":""ETH/USDT"",""qty_delta"":-0.04190721738395076,""price"":2322.47,""cost_usd"":0.04866412757885205,""notes"":""target_w=-0.0455""},{""ticker"":""LTC/USDT"",""qty_delta"":-0.0008754283854273126,""price"":55.6,""cost_usd"":2.433690911487929e-05,""notes"":""target_w=-0.0638""}]",100146.43,158.7,146.43,124676.93,"{""BNB/USDT"":{""qty"":-11.48789961899308,""avg_cost"":637.460987122702},""BTC/USDT"":{""qty"":-0.08111025366164111,""avg_cost"":78176.82818575719},""ETH/USDT"":{""qty"":-1.960216638699103,""avg_cost"":2372.966850289748},""LTC/USDT"":{""qty"":-114.86246235034787,""avg_cost"":55.49000083836896}}"
2026-04-27,2026-04-27T21:00:00,daily,"{""BTC/USDT"":-0.0681708318522941,""ETH/USDT"":-0.05070564429404528,""LTC/USDT"":-0.08157163132746532,""BNB/USDT"":-0.08542572362886186}","[{""ticker"":""BNB/USDT"",""qty_delta"":-2.2688403247340663,""price"":623.66,""cost_usd"":0.7074924784618238,""notes"":""target_w=-0.0854""},{""ticker"":""BTC/USDT"",""qty_delta"":-0.007958978222950386,""price"":76868.01,""cost_usd"":0.30589540881576627,""notes"":""target_w=-0.0682""},{""ticker"":""ETH/USDT"",""qty_delta"":-0.2637768221903394,""price"":2289.8,""cost_usd"":0.3019980837257196,""notes"":""target_w=-0.0507""},{""ticker"":""LTC/USDT"",""qty_delta"":-33.176060998472735,""price"":55.34,""cost_usd"":0.9179816078277406,""notes"":""target_w=-0.0816""}]",100430.38,283.95,430.38,129141.43,"{""BNB/USDT"":{""qty"":-13.756739943727146,""avg_cost"":635.1848492998452},""BTC/USDT"":{""qty"":-0.0890692318845915,""avg_cost"":78059.87584185756},""ETH/USDT"":{""qty"":-2.2239934608894423,""avg_cost"":2363.1028431032178},""LTC/USDT"":{""qty"":-148.0385233488206,""avg_cost"":55.45638501425117}}"
2026-04-28,2026-04-28T21:00:00,daily,"{""BTC/USDT"":-0.06789155064523451,""ETH/USDT"":-0.05042610903676085,""LTC/USDT"":-0.08203133471866364,""BNB/USDT"":-0.08507120960260439}","[{""ticker"":""BNB/USDT"",""qty_delta"":0.07132445375644636,""price"":624.18,""cost_usd"":0.022259648772849343,""notes"":""target_w=-0.0851""},{""ticker"":""BTC/USDT"",""qty_delta"":-0.00017262461974010268,""price"":76389.27,""cost_usd"":0.0065933343429870174,""notes"":""target_w=-0.0679""},{""ticker"":""ETH/USDT"",""qty_delta"":0.025782147551904888,""price"":2303.41,""cost_usd"":0.02969342824626662,""notes"":""target_w=-0.0504""},{""ticker"":""LTC/USDT"",""qty_delta"":-0.3745036301406799,""price"":55.5,""cost_usd"":0.010392475736403867,""notes"":""target_w=-0.0820""}]",100411.84,-18.54,411.84,129071.43,"{""BNB/USDT"":{""qty"":-13.6854154899707,""avg_cost"":635.1848492998452},""BTC/USDT"":{""qty"":-0.0892418565043316,""avg_cost"":78056.64431228745},""ETH/USDT"":{""qty"":-2.1982113133375374,""avg_cost"":2363.1028431032178},""LTC/USDT"":{""qty"":-148.41302697896128,""avg_cost"":55.4564950717766}}"
2026-04-29,2026-04-29T21:00:00,daily,"{""BTC/USDT"":-0.06837840103448431,""ETH/USDT"":-0.051576514678140756,""LTC/USDT"":-0.08274169062102646,""BNB/USDT"":-0.08581012624097964}","[{""ticker"":""BNB/USDT"",""qty_delta"":-0.4279828595107915,""price"":613.4,""cost_usd"":0.13126234301195977,""notes"":""target_w=-0.0858""},{""ticker"":""BTC/USDT"",""qty_delta"":-0.0020189860819393723,""price"":75591.21,""cost_usd"":0.07630880045347815,""notes"":""target_w=-0.0684""},{""ticker"":""ETH/USDT"",""qty_delta"":-0.12902417126745158,""price"":2235.88,""cost_usd"":0.14424128202673484,""notes"":""target_w=-0.0516""},{""ticker"":""LTC/USDT"",""qty_delta"":-3.998733596179136,""price"":54.77,""cost_usd"":0.10950531953136565,""notes"":""target_w=-0.0827""}]",100886.92,475.07,886.92,129993.6,"{""BNB/USDT"":{""qty"":-14.113398349481491,""avg_cost"":634.5242329219548},""BTC/USDT"":{""qty"":-0.09126084258627097,""avg_cost"":78002.10090219633},""ETH/USDT"":{""qty"":-2.327235484604989,""avg_cost"":2356.0494864462453},""LTC/USDT"":{""qty"":-152.41176057514042,""avg_cost"":55.438483922920604}}"
2026-04-30,2026-04-30T21:00:00,daily,"{""BTC/USDT"":-0.06849199343347295,""ETH/USDT"":-0.051512561579063545,""LTC/USDT"":-0.08265586842049218,""BNB/USDT"":-0.08556065013635693}","[{""ticker"":""BNB/USDT"",""qty_delta"":0.18473207305507522,""price"":618.06,""cost_usd"":0.057087752536209894,""notes"":""target_w=-0.0856""},{""ticker"":""BTC/USDT"",""qty_delta"":0.0010536917851406286,""price"":76395.0,""cost_usd"":0.040248391962909164,""notes"":""target_w=-0.0685""},{""ticker"":""ETH/USDT"",""qty_delta"":0.03506969444051844,""price"":2261.17,""cost_usd"":0.03964927048903354,""notes"":""target_w=-0.0515""},{""ticker"":""LTC/USDT"",""qty_delta"":1.887152372788023,""price"":55.25,""cost_usd"":0.05213258429826914,""notes"":""target_w=-0.0827""}]",100615.59,-271.33,615.59,129615.18,"{""BNB/USDT"":{""qty"":-13.928666276426416,""avg_cost"":634.5242329219548},""BTC/USDT"":{""qty"":-0.09020715080113034,""avg_cost"":78002.10090219633},""ETH/USDT"":{""qty"":-2.2921657901644705,""avg_cost"":2356.0494864462453},""LTC/USDT"":{""qty"":-150.5246082023524,""avg_cost"":55.438483922920604}}"
2026-05-01,2026-05-01T21:00:00,daily,"{""BTC/USDT"":-0.13785221282242416,""ETH/USDT"":-0.1032492287416035}","[{""ticker"":""BTC/USDT"",""qty_delta"":-0.11592860716673659,""price"":78415.38,""cost_usd"":4.545292891925186,""notes"":""target_w=-0.1379""},{""ticker"":""ETH/USDT"",""qty_delta"":-2.9596745352727094,""price"":2305.24,""cost_usd"":3.41138006284603,""notes"":""target_w=-0.1032""}]",117249.6,16634.01,17249.6,145520.57,"{""BNB/USDT"":{""qty"":-13.928666276426416,""avg_cost"":634.5242329219548},""BTC/USDT"":{""qty"":-0.20613575796786693,""avg_cost"":78234.52477009689},""ETH/USDT"":{""qty"":-5.25184032543718,""avg_cost"":2327.4158011346644},""LTC/USDT"":{""qty"":-150.5246082023524,""avg_cost"":55.438483922920604}}"
2026-05-02,2026-05-02T21:00:00,daily,"{""BTC/USDT"":-0.07058954497243035,""ETH/USDT"":-0.05239404259978962,""LTC/USDT"":-0.08485190202971048,""BNB/USDT"":-0.0878556441912154}","[{""ticker"":""BNB/USDT"",""qty_delta"":-0.31523814036107467,""price"":618.5,""cost_usd"":0.09748739490666235,""notes"":""target_w=-0.0879""},{""ticker"":""BTC/USDT"",""qty_delta"":0.11590732362109846,""price"":78450.56,""cost_usd"":4.546497223088201,""notes"":""target_w=-0.0706""},{""ticker"":""ETH/USDT"",""qty_delta"":2.977517573993455,""price"":2310.09,""cost_usd"":3.439166786253271,""notes"":""target_w=-0.0524""},{""ticker"":""LTC/USDT"",""qty_delta"":-3.311048756842041,""price"":55.31,""cost_usd"":0.09156705337046665,""notes"":""target_w=-0.0849""}]",100268.31,-16981.29,268.31,129919.17,"{""BNB/USDT"":{""qty"":-14.24390441678749,""avg_cost"":634.1695935450522},""BTC/USDT"":{""qty"":-0.09022843434676847,""avg_cost"":78234.52477009689},""ETH/USDT"":{""qty"":-2.2743227514437248,""avg_cost"":2327.4158011346644},""LTC/USDT"":{""qty"":-153.83565695919444,""avg_cost"":55.435718526772085}}"
2026-05-03,2026-05-03T21:00:00,daily,"{""BTC/USDT"":-0.09425060346443971,""LTC/USDT"":-0.1131505202131828,""BNB/USDT"":-0.11719413338356388}","[{""ticker"":""BNB/USDT"",""qty_delta"":-5.71289151450641,""price"":619.31,""cost_usd"":1.769025421924482,""notes"":""target_w=-0.1172""},{""ticker"":""BTC/USDT"",""qty_delta"":-0.03594914875910535,""price"":78776.19,""cost_usd"":1.4159684864927735,""notes"":""target_w=-0.0943""},{""ticker"":""LTC/USDT"",""qty_delta"":-61.406021763116684,""price"":55.44,""cost_usd"":1.7021749232735945,""notes"":""target_w=-0.1132""}]",105456.39,5188.09,5456.39,139688.62,"{""BNB/USDT"":{""qty"":-19.9567959312939,""avg_cost"":629.9158422833365},""BTC/USDT"":{""qty"":-0.12617758310587382,""avg_cost"":78388.85015379904},""ETH/USDT"":{""qty"":-2.2743227514437248,""avg_cost"":2327.4158011346644},""LTC/USDT"":{""qty"":-215.24167872231112,""avg_cost"":55.43693998276412}}"
2026-05-04,2026-05-04T21:00:00,daily,"{""BTC/USDT"":-0.07569138569158491,""ETH/USDT"":-0.05534272154846778,""LTC/USDT"":-0.08781011699391149,""BNB/USDT"":-0.09168176698679556}","[{""ticker"":""BNB/USDT"",""qty_delta"":5.306998185935356,""price"":625.06,""cost_usd"":1.6585961430503766,""notes"":""target_w=-0.0917""},{""ticker"":""BTC/USDT"",""qty_delta"":0.031655047443742826,""price"":79980.01,""cost_usd"":1.2658855055505127,""notes"":""target_w=-0.0757""},{""ticker"":""ETH/USDT"",""qty_delta"":-0.07247369766871792,""price"":2355.35,""cost_usd"":0.08535046190200737,""notes"":""target_w=-0.0553""},{""ticker"":""LTC/USDT"",""qty_delta"":56.44556331664694,""price"":55.23,""cost_usd"":1.5587442309892052,""notes"":""target_w=-0.0878""}]",99873.55,-5582.84,-126.45,130888.3,"{""BNB/USDT"":{""qty"":-14.649797745358544,""avg_cost"":629.9158422833365},""BTC/USDT"":{""qty"":-0.094522535662131,""avg_cost"":78388.85015379904},""ETH/USDT"":{""qty"":-2.3467964491124427,""avg_cost"":2328.2784642275583},""LTC/USDT"":{""qty"":-158.79611540566418,""avg_cost"":55.43693998276412}}"
2026-05-05,2026-05-05T21:00:00,daily,"{""BTC/USDT"":-0.07641050151592708,""ETH/USDT"":-0.05575220241384459,""LTC/USDT"":-0.08897119399283371,""BNB/USDT"":-0.09201931501959634}","[{""ticker"":""BNB/USDT"",""qty_delta"":0.16985990327616207,""price"":631.93,""cost_usd"":0.05366978433865255,""notes"":""target_w=-0.0920""},{""ticker"":""BTC/USDT"",""qty_delta"":0.0014714117184715797,""price"":81656.0,""cost_usd"":0.06007479764175765,""notes"":""target_w=-0.0764""},{""ticker"":""ETH/USDT"",""qty_delta"":0.010163393950860744,""price"":2372.62,""cost_usd"":0.012056935877845608,""notes"":""target_w=-0.0558""},{""ticker"":""LTC/USDT"",""qty_delta"":1.0356827207957622,""price"":56.08,""cost_usd"":0.02904054349111317,""notes"":""target_w=-0.0890""}]",99438.83,-434.72,-561.17,130578.47,"{""BNB/USDT"":{""qty"":-14.479937842082382,""avg_cost"":629.9158422833365},""BTC/USDT"":{""qty"":-0.09305112394365941,""avg_cost"":78388.85015379904},""ETH/USDT"":{""qty"":-2.336633055161582,""avg_cost"":2328.2784642275583},""LTC/USDT"":{""qty"":-157.76043268486842,""avg_cost"":55.43693998276412}}"
2026-05-06,2026-05-06T21:00:00,daily,"{""BTC/USDT"":-0.07903707102888816,""ETH/USDT"":-0.057183194117588244,""LTC/USDT"":-0.08971478016800696,""BNB/USDT"":-0.09432783047141798}","[{""ticker"":""BNB/USDT"",""qty_delta"":0.10384539882841537,""price"":650.3,""cost_usd"":0.033765331429059256,""notes"":""target_w=-0.0943""},{""ticker"":""BTC/USDT"",""qty_delta"":-0.0030897386375386554,""price"":81477.48,""cost_usd"":0.12587205902264154,""notes"":""target_w=-0.0790""},{""ticker"":""ETH/USDT"",""qty_delta"":-0.07623425217362412,""price"":2348.82,""cost_usd"":0.0895302680952259,""notes"":""target_w=-0.0572""},{""ticker"":""LTC/USDT"",""qty_delta"":1.6034893331509465,""price"":56.94,""cost_usd"":0.04565134131480745,""notes"":""target_w=-0.0897""}]",99109.09,-329.74,-890.91,130850.14,"{""BNB/USDT"":{""qty"":-14.376092443253967,""avg_cost"":629.9158422833365},""BTC/USDT"":{""qty"":-0.09614086258119807,""avg_cost"":78488.11137027504},""ETH/USDT"":{""qty"":-2.412867307335206,""avg_cost"":2328.9274715780034},""LTC/USDT"":{""qty"":-156.15694335171747,""avg_cost"":55.43693998276412}}"
