date,signals_json,fills_json,eod_portfolio_value,pnl_day,pnl_cum,cash,positions_json
2026-04-22,"{""QQQ"":1.0}","[{""ticker"":""QQQ"",""qty_delta"":152.6461239120563,""price"":655.1099853515625,""cost_usd"":50.0,""notes"":""target_w=1.0000""}]",99950.0,-50.0,-50.0,-50.0,"{""QQQ"":{""qty"":152.6461239120563,""avg_cost"":655.1099853515625}}"
2026-04-22,"{""QQQ"":1.0}","[{""ticker"":""QQQ"",""qty_delta"":-0.07632306195603178,""price"":655.1099853515625,""cost_usd"":0.025000000000001188,""notes"":""target_w=1.0000""}]",99949.98,-0.02,-50.02,-0.02,"{""QQQ"":{""qty"":152.56980085010028,""avg_cost"":655.1099853515625}}"
2026-04-22,2026-04-22T21:00:00,daily,"{""QQQ"":1.0}",[],99949.98,0.0,-50.02,-0.02,"{""QQQ"":{""qty"":152.56980085010028,""avg_cost"":655.1099853515625}}"
2026-05-01,2026-05-01T09:30:00,daily,"{""QQQ"":0.0}","[{""ticker"":""QQQ"",""qty_delta"":-152.56980085010028,""price"":654.4401245117188,""cost_usd"":49.92389973253388,""notes"":""target_w=0.0000""}]",99797.85,-152.12,-202.15,99797.85,{}
2026-04-27,2026-04-27T21:00:00,daily,"{""QQQ"":1.0}","[{""ticker"":""QQQ"",""qty_delta"":150.24592912067513,""price"":664.22998046875,""cost_usd"":49.89892528266762,""notes"":""target_w=1.0000""}]",99747.95,-49.9,-252.05,-49.9,"{""QQQ"":{""qty"":150.24592912067513,""avg_cost"":664.22998046875}}"
2026-04-28,2026-04-28T21:00:00,daily,"{""QQQ"":1.0}","[{""ticker"":""QQQ"",""qty_delta"":-0.0758861321709503,""price"":657.5499877929688,""cost_usd"":0.024949462641331993,""notes"":""target_w=1.0000""}]",98744.28,-1003.67,-1255.72,-0.02,"{""QQQ"":{""qty"":150.17004298850418,""avg_cost"":664.22998046875}}"
2026-04-29,2026-04-29T21:00:00,daily,"{""QQQ"":1.0}",[],99347.97,603.69,-652.03,-0.02,"{""QQQ"":{""qty"":150.17004298850418,""avg_cost"":664.22998046875}}"
2026-04-30,2026-04-30T21:00:00,daily,"{""QQQ"":1.0}",[],100274.52,926.55,274.52,-0.02,"{""QQQ"":{""qty"":150.17004298850418,""avg_cost"":664.22998046875}}"
2026-05-01,2026-05-01T21:00:00,daily,"{""QQQ"":0.0}","[{""ticker"":""QQQ"",""qty_delta"":-150.17004298850418,""price"":674.1799926757812,""cost_usd"":50.620819241055756,""notes"":""target_w=0.0000""}]",101190.99,916.47,1190.99,101190.99,{}
2026-05-04,2026-05-04T21:00:00,daily,"{""QQQ"":1.0}","[{""ticker"":""QQQ"",""qty_delta"":150.38490069418995,""price"":672.8800048828125,""cost_usd"":50.595496356703904,""notes"":""target_w=1.0000""}]",101140.4,-50.6,1140.4,-50.6,"{""QQQ"":{""qty"":150.38490069418995,""avg_cost"":672.8800048828125}}"
2026-05-05,2026-05-05T21:00:00,daily,"{""QQQ"":1.0}","[{""ticker"":""QQQ"",""qty_delta"":-0.07424137396435526,""price"":681.5,""cost_usd"":0.025297748178354056,""notes"":""target_w=1.0000""}]",102436.69,1296.29,2436.69,-0.03,"{""QQQ"":{""qty"":150.3106593202256,""avg_cost"":672.8800048828125}}"
2026-05-06,2026-05-06T21:00:00,daily,"{""QQQ"":1.0}",[],104578.62,2141.93,4578.62,-0.03,"{""QQQ"":{""qty"":150.3106593202256,""avg_cost"":672.8800048828125}}"
2026-05-07,2026-05-07T21:00:00,daily,"{""QQQ"":1.0}",[],104456.86,-121.75,4456.86,-0.03,"{""QQQ"":{""qty"":150.3106593202256,""avg_cost"":672.8800048828125}}"
2026-05-08,2026-05-08T21:00:00,daily,"{""QQQ"":0.0}","[{""ticker"":""QQQ"",""qty_delta"":-150.3106593202256,""price"":711.06298828125,""cost_usd"":53.440173293382266,""notes"":""target_w=0.0000""}]",106826.88,2370.02,6826.88,106826.88,{}
2026-05-11,2026-05-11T21:00:00,daily,"{""QQQ"":1.0}","[{""ticker"":""QQQ"",""qty_delta"":149.7664125481766,""price"":713.2899780273438,""cost_usd"":53.41344055786149,""notes"":""target_w=1.0000""}]",106773.47,-53.41,6773.47,-53.41,"{""QQQ"":{""qty"":149.7664125481766,""avg_cost"":713.2899780273438}}"
2026-05-12,2026-05-12T21:00:00,daily,"{""QQQ"":1.0}","[{""ticker"":""QQQ"",""qty_delta"":-0.07552378442312602,""price"":707.239990234375,""cost_usd"":0.026706720278937345,""notes"":""target_w=1.0000""}]",105867.36,-906.11,5867.36,-0.03,"{""QQQ"":{""qty"":149.69088876375346,""avg_cost"":713.2899780273438}}"
